Creator Name,Creator Channel,Link Primary,Platform Primary,Platform Secondary,Origin List,Topic/Category,Geography,Groups,New Tags,Special Lists,Notes
Eric Newcomer,Newcomer,https://www.newcomer.co/,Newsletter - Substack,,Project C Top Fifty,Tech,"New York, NY",Money & Work,,,
Casey Newton,Platformer,https://www.platformer.news/,Newsetter - Ghost,,Project C Top Fifty,Tech,National - US,Money & Work,,,
Mosheh Oinounou,Mo News,https://www.mo.news/,Video - Instagram,,Project C Top Fifty,General News,"New York, NY",General News,,,
Bisan Owda,Bisan from Gaza,https://www.instagram.com/wizard_bisan1/?hl=en,Video - Instagram,,Project C Top Fifty,World,Palestine,General News,,,
Anne Helen Petersen,Culture Study,https://annehelen.substack.com/,Newsletter - Substack,,Project C Top Fifty,Culture,Washington - US,Culture & Media,,,
Max Read,Read Max,https://maxread.substack.com/,Newsletter - Substack,,Project C Top Fifty,Internet Culture,"New York, NY",Culture & Media,,,
Lisa Remillard,The News Girl,https://www.tiktok.com/@lisaremillard,Video - TikTok,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Heather Cox Richardson,Letters from an American,https://heathercoxrichardson.substack.com/,Newsletter - Substack,,Project C Top Fifty,Politics,Maine - US,Power & Politics,,,
Hannah Ritchie,Sustainability by Numbers,https://www.sustainabilitybynumbers.com/,Newsletter - Substack,,Project C Top Fifty,Explanatory,United Kingdom,Journalism Formats,,,
Isaac Saul,Tangle News,https://www.readtangle.com/,Newsetter - Ghost,,Project C Top Fifty,Politics,"Philadelphia, PA",Power & Politics,,,
Kyla Scanlon,In This Economy?,https://www.instagram.com/kylascan/,Video - TikTok,,Project C Top Fifty,Finance/Economics,National - US,Money & Work,,,
Craig Silverman,Indicator,https://indicator.media/,Newsletter - Beehiiv,,Project C Top Fifty,Tech,Canada,Money & Work,,,
Alexios Mantzarlis,Indicator,https://indicator.media/,Newsletter - Beehiiv,,Project C Top Fifty,Tech,"New York, NY",Money & Work,,,
Emily Sundberg,Feed Me,https://www.readfeedme.com/,Newsletter - Substack,,Project C Top Fifty,Culture,"New York, NY",Culture & Media,,,
Nathan Tankus,Notes on the Crisis,https://www.crisesnotes.com/,Newsetter - Ghost,,Project C Top Fifty,Government Accountability,"New York, NY",Power & Politics,,,
Kat Tenbarge,Spitfire News,https://spitfirenews.com/,Social - BlueSky,,Project C Top Fifty,Internet Culture,National - US,Culture & Media,,,
Kyle Tharp,Chaotic Era,https://www.chaoticera.news/,Newsletter - Beehiiv,,Project C Top Fifty,Government Accountability,National - US,Power & Politics,,,
Jessica Valenti,Abortion Every Day,https://jessica.substack.com/,Newsletter - Substack,,Project C Top Fifty,Government Accountability,"New York, NY",Power & Politics,,,
Bryan Vance,Stumptown Savings,https://stumptownsavings.com/,Newsletter - Beehiiv,,Project C Top Fifty,Finance/Economics,"Portland, OR",Money & Work,,,
Alissa Walker,Torched,https://www.torched.la/author/alissa/,Newsetter - Ghost,,Project C Top Fifty,Local,"Los Angeles, CA",Civic Life,,,
Erin Reed,Erin In the Morning,https://www.erininthemorning.com/,Newsletter - Substack,,Project C Top Fifty,LGBTQIA,National - US,Social Issues,,,
DC Moms,DC Moms,https://www.instagram.com/dcmoms,Video - Instagram,,Austin DC List,Parenting,"Washington, D.C.",Lifestyle & Personal Life,,,
Domonique Bazil,As Told by Domm,https://www.instagram.com/astoldbydomm/,Video - Instagram,,Austin DC List,"Coffee, Running","Washington, D.C.",Lifestyle & Personal Life,,,
Maddie Brannon,maddy the b,https://www.instagram.com/maddytheb,Video - Instagram,TikTok,Austin DC List,Estate sales,"Washington, D.C.",Lifestyle & Personal Life,,,
CK,Hype Foodies,https://www.instagram.com/hypefoodies,Video - Instagram,TikTok,Austin DC List,"Restaurants, Travel","Washington, D.C.",Lifestyle & Personal Life,,,
Diana,Hype Foodies,https://www.instagram.com/hypefoodies,Video - Instagram,TikTok,Austin DC List,"Restaurants, Travel","Washington, D.C.",Lifestyle & Personal Life,,,
Laurie Collins,DC City Girl,https://www.instagram.com/dccitygirl,Video - Instagram,,Austin DC List,Photography,"Washington, D.C.",Culture & Media,,,
Meg,District By Meg,https://www.instagram.com/districtbymeg,Video - Instagram,,Austin DC List,Things to do,"Washington, D.C.",Lifestyle & Personal Life,,,
Roya Fox,royaventurera,https://www.tiktok.com/@royaventurera,Video - TikTok,Instagram,Austin DC List,Language,"Washington, D.C.",Culture & Media,,,
Charlotte Gage,Your Pal Charlotte,https://www.tiktok.com/@yourpalcharlotte,Video - TikTok,Instagram,Austin DC List,Aviation,Virginia - US,Lifestyle & Personal Life,,,
Anina Belle Giannini,le chefs wife,https://www.instagram.com/lechefswife,Video - Instagram,Facebook,Austin DC List,Recipes,"Washington, D.C.",Lifestyle & Personal Life,,,
Mattie Hanley,hungry_hungry_hanley,https://www.instagram.com/hungry_hungry_hanley,Video - Instagram,,Austin DC List,Restaurants,"Washington, D.C.",Lifestyle & Personal Life,,,
The Hill Is Home,The Hill Is Home,https://www.instagram.com/thehillishome,Video - Instagram,,Austin DC List,Local news,"Washington, D.C.",Civic Life,,,
Joe Himali,Best Address,https://www.instagram.com/bestaddress,Video - Instagram,TikTok,Austin DC List,"History, Architecture","Washington, D.C.",Culture & Media,,,
History In High Heels,History In High Heels,https://www.instagram.com/historyinhighheels,Video - Instagram,,Austin DC List,History,"Washington, D.C.",Culture & Media,,,
Jess Hood,jessrhood,https://www.instagram.com/jessrhood,Video - Instagram,TikTok,Austin DC List,"Things to do, Running, Real Estate","Washington, D.C.","Money & Work, Lifestyle & Personal Life",,,
The Hyattsville Wire,The Hyattsville Wire,https://www.instagram.com/hyattsvillewire/,Video - Instagram,Facebook,Austin DC List,Local news,Virginia - US,Civic Life,,,
Lauren,Mamas and Messes,https://www.instagram.com/mamasandmesses,Video - Instagram,,Austin DC List,Parenting,"Washington, D.C.",Lifestyle & Personal Life,,,
Rohini Manixkam,rohinimm,https://www.instagram.com/rohinimm,Video - Instagram,,Austin DC List,Science,"Washington, D.C.","Science, Health & Environment",,,
Anastasiia Markova,anastasiia.dc,https://www.instagram.com/anastasiia.dc/,Video - Instagram,,Austin DC List,"Restaurants, Things to do","Washington, D.C.",Lifestyle & Personal Life,,,
Emily Moore,Emily Goes Places,https://www.instagram.com/emilygoesplaces,Video - Instagram,Facebook,Austin DC List,Travel,"Washington, D.C.",Lifestyle & Personal Life,,,
Not Bored In DC,Not Bored In DC,https://www.instagram.com/notboredindc,Video - Instagram,,Austin DC List,History,"Washington, D.C.",Culture & Media,,,
Tony P.,Tony P in DC,https://www.instagram.com/_tonypindc,Video - Instagram,,Austin DC List,Day in a life,"Washington, D.C.",Journalism Formats,,,
Rob Perez,r.oh.bee,https://www.instagram.com/r.oh.bee,Video - Instagram,TikTok,Austin DC List,Running,"Washington, D.C.",Lifestyle & Personal Life,,,
Cornelia Poku,Black Girls Explore DC,https://www.tiktok.com/@blackgirlsexploredc,Video - TikTok,Instagram,Austin DC List,Restaurants,"Washington, D.C.",Lifestyle & Personal Life,,,
David R,Eat DC,https://x.com/eat_dc,Social - Twitter / X,Instagram,Austin DC List,Food,"Washington, D.C.",Lifestyle & Personal Life,,,
Libby Rasmussen,Libby Living Colorfully,https://www.instagram.com/libbylivingcolorfully,Video - Instagram,TikTok,Austin DC List,Vintage,Virginia - US,Lifestyle & Personal Life,,,
Sandie S.,A Dork and Her Fork,https://www.instagram.com/adorkandherfork,Video - Instagram,TikTok,Project C Top Fifty,"Food, Travel","Washington, D.C.",Lifestyle & Personal Life,,,
Raman Santra,Barred in DC,https://x.com/barredindc,Social - Twitter / X,,Austin DC List,Bars,"Washington, D.C.",Lifestyle & Personal Life,,,
Sara,Long Walks DC,https://www.instagram.com/longwalksdc,Video - Instagram,,Austin DC List,"Things to do, Parenting","Washington, D.C.",Lifestyle & Personal Life,,,
Sarah,History on Holiday,https://www.instagram.com/historyonholiday,Video - Instagram,TikTok,Austin DC List,Museums,"Washington, D.C.",Culture & Media,,,
Dani Sauter,The Blond Cat Lady,https://www.instagram.com/the_blonde_cat_lady,Video - Instagram,Facebook,Austin DC List,"Lifestyle, Fashion","Washington, D.C.",Lifestyle & Personal Life,,,
Sam Schlageter,Your DC Bestie,https://www.instagram.com/yourdcbestie,Video - Instagram,,Austin DC List,"Things to do, Travel","Washington, D.C.",Lifestyle & Personal Life,,,
Alex Schroeder,Devour DC,https://www.instagram.com/devourdc,Video - Instagram,,Austin DC List,Restaurants,"Washington, D.C.",Lifestyle & Personal Life,,,
Maddie Smith,On The Move with Mad,https://www.instagram.com/onthemovewithmad,Video - Instagram,,Austin DC List,"Travel, Things to do","Washington, D.C.",Lifestyle & Personal Life,,,
Albert Ting,pootie_ting,https://www.instagram.com/pootie_ting,Video - Instagram,,Austin DC List,Things to do,"Washington, D.C.",Lifestyle & Personal Life,,,
Tristen,Nomz All Day,https://www.instagram.com/nomzallday,Video - Instagram,TikTok,Austin DC List,"Restaurants, Things to do","Washington, D.C.",Lifestyle & Personal Life,,,
Washingtonian Problems,Washingtonian Problems,https://www.instagram.com/washingtonianprobs/?hl=en,Video - Instagram,X,Austin DC List,"Local news, Gossip","Washington, D.C.","Culture & Media, Civic Life",,,
Jade Womack,Clockout DC,https://www.instagram.com/clockoutdc,Video - Instagram,,Austin DC List,Things to do,"Washington, D.C.",Lifestyle & Personal Life,,,
Your Digital Docent,Your Digital Docent,https://www.instagram.com/digitaldocent_/,Video - Instagram,,Austin DC List,Museums,"Washington, D.C.",Culture & Media,,,
Chloe Zhang,That Girl Chloe,https://www.instagram.com/thatgirlchloe.z,Video - Instagram,,Austin DC List,"Lifestyle, Dating/Romance","Washington, D.C.",Lifestyle & Personal Life,,,
Chris Franzoni,eatmorebemore,https://www.instagram.com/eatmorebemore,Video - Instagram,,Austin DC List,Restaurants,"Baltimore, MD",Lifestyle & Personal Life,,,
Bobby LaPin,saillocal,https://www.instagram.com/saillocal,Video - Instagram,,Austin DC List,Sailing,"Baltimore, MD",Lifestyle & Personal Life,,,
Brian Oliver,briankoliver,https://www.instagram.com/briankoliver,Video - Instagram,,Austin DC List,Things to do,"Baltimore, MD",Lifestyle & Personal Life,,,
Evan Woodard,salvagearc,https://www.instagram.com/salvagearc,Video - Instagram,,Austin DC List,History,"Baltimore, MD",Culture & Media,,,
Hope King,Macro Talk,https://www.youtube.com/@macrotalkwithhope,Video - YouTube,,Ryan's List,Finance/Economics,"New York, NY",Money & Work,,,
Dan Frommer,The New Consumer,https://newconsumer.com/,Newsletter - Other,,Ryan's List,"Finance/Economics, Explanatory","Los Angeles, CA","Journalism Formats, Money & Work",,,
Bill Bishop,Sinocism,https://sinocism.com/,Newsletter - Substack,,Ryan's List,World,International,General News,,,
Katie Harbath,Anchor Change,https://anchorchange.substack.com/,Newsletter - Substack,,Ryan's List,"Politics, World",National - US,"Power & Politics, General News",,,
Sharon McMahon,Sharon Says So,https://www.instagram.com/sharonsaysso/,Video - Instagram,,Kalia MPR,"Politics, Government Accountability, Explanatory, Finance/Economics","Minneapolis, MN","Journalism Formats, Money & Work, Power & Politics",,,
Georgia Fort,Georgia Fort,https://www.facebook.com/ByGeorgiaFort/,Social - Facebook,,Kalia MPR,"General News, Local news, Politics","Minneapolis, MN","General News, Civic Life, Power & Politics",,,
Carla Angola,Carla Angola,https://www.instagram.com/carlaangola/,Video - Instagram,,Kalia MPR,World,"Miami, FL",General News,,,
Jorge Ramos,Jorge Ramos,https://x.com/jorgeramosnews,Social - Twitter / X,,FeedSpot PR List,"World, Politics","Miami, FL","Power & Politics, General News",,,
Chico Felitti,Chico Felitti,https://www.instagram.com/chicofelitti/,Video - Instagram,,Creator Spotlight,"World, Investigative",Brazil,"Journalism Formats, General News",,,
Lindsey Stanberry,The Purse,https://www.thepurse.co/,Newsetter - Ghost,,Creator Spotlight,"Personal Finance, Careers, Motherhood","New York, NY","Money & Work, Lifestyle & Personal Life",Parenting,,
Ambreen Ali,Central Desi,https://centraldesi.beehiiv.com/,Newsletter - Beehiiv,,Creator Spotlight,"Local news, Culture",New Jersey - US,"Culture & Media, Civic Life",,,
Theo Lloyd-Hughes,Theo Lloyd-Hughes,https://bsky.app/profile/did:plc:6brmb7llgtvwq6p3nk7tlmap,Social - BlueSky,,Creator Spotlight,Sports,"New Orleans, LA",Lifestyle & Personal Life,,,
Tomo Chien,Morning Trojan,https://morningtrojan.com/,Newsletter - Beehiiv,,Creator Spotlight,"Local news, University","Los Angeles, CA",Civic Life,,,
Dave Jorgensen,Local News International,https://lni.media/,Video - TikTok,,Ryan's List,"Explanatory, General News, Media/Power","Kansas City, MO","Journalism Formats, General News, Culture & Media",,,
Flo Lloyd-Hughes,Flo Lloyd-Hughes,https://www.instagram.com/floydinsta/,Video - Instagram,,Ryan's List,Sports,United Kingdom,Lifestyle & Personal Life,,,
Carlos Eduardo Espina,Carlos Eduardo Espina,https://www.tiktok.com/@carlos_eduardo_espina,Video - TikTok,,Ryan's List,"Politics, Immigration","Houston, TX","Social Issues, Power & Politics",,,
Jessica Yellin,News Not Noise,https://www.instagram.com/jessicayellin/,Video - Instagram,,Ryan's List,Politics,"Los Angeles, CA",Power & Politics,,,
Paris Marx,Paris Marx,https://bsky.app/profile/parismarx.com,Social - BlueSky,,CJF NextGen,"Tech, World",Canada,"Money & Work, General News",,,
Stephen Smysnuik,The Level,https://www.readthelevel.ca/,Website,,CJF NextGen,World,Canada,General News,,,
Neil Malik,The Level,https://www.readthelevel.ca/,Website,,CJF NextGen,World,Canada,General News,,,
Christopher Curtis,The Rover,http://therover.ca/,Website,,Ryan's List,World,Canada,General News,,,
Karli Zschögner,karli_zschogner,https://www.instagram.com/karli_zschogner/,Video - Instagram,,CJF NextGen,"World, Local",Canada,"Civic Life, General News",,,
Michael Wolff,Howl,https://michaelwolffnyc.substack.com/,Newsletter - Substack,,Ryan's List,Politics,"New York, NY",Power & Politics,,,
Victoria Wolff,Our Amagansett House,https://ouramagansetthouse.substack.com/,Newsletter - Substack,,Ryan's List,"Day in a life, Design, Lifestyle","New York, NY","Journalism Formats, Culture & Media, Lifestyle & Personal Life",,,
Jerry Won,Jerry Won,https://www.linkedin.com/in/jerrywon/,Social - LinkedIn,,Ryan's List,Identity/Belonging,"Los Angeles, CA",Social Issues,,,
Simon Owens,Simon Owens's Media Newsletter,https://simonowens.substack.com/,Newsletter - Substack,,Ryan's List,Media/Power,"Washington, D.C.",Culture & Media,,,
Arielle Frodor,Mrs. Frazzled,https://www.tiktok.com/@mrs.frazzled,Video - TikTok,https://www.instagram.com/mrs.frazzled,Ryan's List,"Education, Politics",National - US,"Civic Life, Power & Politics",,,
Samantha Yammine,Science Sam,https://www.instagram.com/science.sam/?hl=en,Video - Instagram,https://www.tiktok.com/@science.sam?lang=en,Ryan's List,Science,Canada,"Science, Health & Environment",,,
Ellen Weatherford,Ellen Weatherford,https://www.tiktok.com/@ellen.weatherford,Video - TikTok,,Ryan's List,Science,Washington - US,"Science, Health & Environment",,,
Victoria M. Walker,Carrying On,https://victoriamwalker.substack.com/,Newsletter - Substack,,Ryan's List,Travel,"New York, NY",Lifestyle & Personal Life,,,
Casey Fiesler,Professor Casey,https://www.tiktok.com/@professorcasey,Video - TikTok,https://www.instagram.com/professorcasey/,Ryan's List,"Tech, Education","New York, NY","Civic Life, Money & Work",,,
Gabrielle Judge,Ms. Anti Work,https://www.instagram.com/msantiwork/,Video - Instagram,,Ryan's List,Culture,"Fort Collins, CO",Culture & Media,,,
Jeremy Klaszus,The Sprawl,https://www.sprawlcalgary.com/,Website,,Ryan's List,Local news,Canada,Civic Life,,,
Isabelle Roughol,Broad History,https://www.linkedin.com/in/iroughol/,Podcast,,Ryan's List,History,United Kingdom,Culture & Media,,,
Olivia Ruth Messer,The Barbed Wire,https://thebarbedwire.com/,Website,,Ryan's List,Politics,"Austin, TX",Power & Politics,,,"It's actually not entirely clear if she OWNS this or is just the editor in chief. ""Private funders and donor supported"" is what they list for funding"
Kat Vargas,Howdy Politics,https://www.instagram.com/howdypolitics,Video - Instagram,https://www.tiktok.com/@howdypolitics,Ryan's List,Politics,Texas - US,Power & Politics,,,
Hannah Raskin,The Food Section,https://thefoodsection.com/,Website,,Project C Nominee,"Food, Local","Macon, GA","Lifestyle & Personal Life, Civic Life",,,
Rachel Collier,Good News with Rachel Collier,https://www.instagram.com/goodnewsrachelcollier/,Video - Instagram,,Write-in,"Local, Positive news","Louisville, KY","Civic Life, General News",,,Hasn't posted a lot BUT did write in to volunteer herself...
Ryan Lizza,Telos News,https://substack.com/@ryanlizza,Newsletter - Substack,,Ryan's List,Politics,"Washington, D.C.",Power & Politics,,,Not to get into the Olivia Nuzzi of it all
Jenna Flanagan,jflannys,https://www.tiktok.com/@jflannys,Video - TikTok,https://jflanagan.substack.com/,Ryan's List,Identity/Belonging,National - US,Social Issues,,,
Danica Samuel,Vainqueur Magazine,https://www.vainqueurmag.ca/,Website,,Ryan's List,Fashion,Canada,Lifestyle & Personal Life,,,
Alastair Campbell,Rest Is Politics,https://www.youtube.com/@restispolitics,Video - YouTube,,Ryan's List,"Politics, World",United Kingdom,"Power & Politics, General News",,,
Rory Stewart,Rest Is Politics,https://www.youtube.com/@restispolitics,Video - YouTube,,Ryan's List,"Politics, World",United Kingdom,"Power & Politics, General News",,,
Carldez Goodley,Hoodanchorye,https://www.instagram.com/hoodanchorye,Video - Instagram,https://www.tiktok.com/@cartier11_1,Justin's List,Local news,"Atlanta, GA",Civic Life,,,
Austin Graff,Austin K Graff,https://www.instagram.com/austinkgraff,Video - Instagram,,Ryan's List,"Local, Parenting, Restaurants, Travel","Washington, D.C.","Civic Life, Lifestyle & Personal Life",,,
Kate Woodsome,Invisible Threads,https://katewoodsome.substack.com/,Newsletter - Substack,,Ryan's List,Health/Wellness,"Washington, D.C.","Science, Health & Environment",,,
Charlotte Salley,Hot Bones,https://hotbones.beehiiv.com/,Newsletter - Beehiiv,,Write-in,"Local, Health/Wellness","Washington, D.C.","Science, Health & Environment, Civic Life",,,
Karen Attiah,The Golden Hour by Karen Attiah,https://karenattiah.substack.com/,Newsletter - Substack,,Ryan's List,"Politics, Media/Power","Washington, D.C.","Culture & Media, Power & Politics",,,
MIMS,Make It Make Sense,https://www.youtube.com/@MakeItMakeSensemims,Video - YouTube,,Karen Attiah,"Culture, Internet Culture, Entertainment/Hollywood",National - US,Culture & Media,,,
Antonio Sánchez,NoticiasNW,https://noticiasnw.com/,Website,,News coverage,Local news,"Portland, OR",Civic Life,,,
Joshua Dairen,Joshua Dairen,https://www.tiktok.com/@joshuadairen,Video - TikTok,https://www.instagram.com/joshuadairen/,Ryan's List,"History, Culture","Portland, OR",Culture & Media,,,
Shira Lazar,Shira Lazar,https://www.tiktok.com/@shiralazar,Video - Instagram,https://www.instagram.com/shiralazar/,Ryan's List,"Tech, Internet Culture","Los Angeles, CA","Culture & Media, Money & Work",,,
Julie Rose,Provo Notes,https://provonotes.substack.com/,Newsletter - Substack,,Justin's List,"Local news, Politics","Provo, UT","Civic Life, Power & Politics",,,
JJ McCullough,JJ McCullough,https://www.youtube.com/@JJMcCullough,Video - YouTube,https://x.com/JJ_McCullough,News coverage,"Culture, History, Politics",Canada,"Culture & Media, Power & Politics",,,
CJ Gustafson,Mostly Metrics,https://www.mostlymetrics.com/,Newsletter - Beehiiv,https://www.linkedin.com/in/cj-gustafson-13140948/,News coverage,Finance/Economics,National - US,Money & Work,,,
Lenny Rachitsky,Lenny's Podcast,https://www.youtube.com/@LennysPodcast,Video - YouTube,,Ryan's List,Tech,National - US,Money & Work,,,Is this missing the word PRODUCT
Ari Shaprio,Ari Shapiro,https://arishapiro.substack.com/,Newsletter - Substack,,News coverage,Media/Power,"Washington, D.C.",Culture & Media,,,
Tara Parker-Pope,One Day Better,https://substack.com/@taraparkerpope,Newsletter - Substack,,Ryan's List,Health/Wellness,National - US,"Science, Health & Environment",,,
Matt Buxton,The Alaska Memo,www.akmemo.com,Newsletter - Other,,Chris Cillizza State Reporters,"Politics, Local",Alaska - US,"Civic Life, Power & Politics",,,Added a BUNCH of states for Chris's list. I mostly just labled them politics. Maybe we should label them local too? I didnt because I wasnt sure. 
Dermot Cole,Reporting from Alask,www.dermotcole.com,Website,,Chris Cillizza State Reporters,"Politics, Local",Alaska - US,"Civic Life, Power & Politics",,,
Nat Herz,Northern Journal,www.northernjournal.com,Website,,Chris Cillizza State Reporters,"Politics, Climate/Environment, Local",Alaska - US,"Science, Health & Environment, Civic Life, Power & Politics",,,
Patty Calhoun,Denver Westword,www.westword.com,Website,,Chris Cillizza State Reporters,Politics,Colorado - US,Power & Politics,,,MOVE to Independent website list
Corey Hutchins,Inside the News in Colorado,coloradomedia.substack.com,Newsletter - Substack,,Chris Cillizza State Reporters,"Media/Power, Politics, Local",Colorado - US,"Civic Life, Culture & Media, Power & Politics",,,
Peter Schorsch,Florida Politics,floridapolitics.com,Website,,Chris Cillizza State Reporters,Politics,Florida - US,Power & Politics,,,MOVE to Independent website
Jamie Dupree,Regular Order,https://jamiedupree.substack.com/,Newsletter - Substack,,Chris Cillizza State Reporters,Politics,National - US,Power & Politics,,,
Rich Miller,Capitol Fax,capitolfax.com,Website,,Chris Cillizza State Reporters,"Politics, Local",Illinois - US,"Civic Life, Power & Politics",,,
Patrick Pfingsten,The Illinoize,www.theillinoize.com,Website,,Chris Cillizza State Reporters,"Politics, Local",Illinois - US,"Civic Life, Power & Politics",,,
Brian Howey,Brian Howey,https://x.com/hwypol,Social - Twitter / X,,Chris Cillizza State Reporters,"Politics, Local",Indiana - US,"Civic Life, Power & Politics",,,"He's like the Dan Baltz of indianna. And seems to syndicate/license. So he's kinda more of a freelancer. Tweenr, id like to include"
David Wildstein,New Jersey Globe,newjerseyglobe.com,Website,,Chris Cillizza State Reporters,"Politics, Local",New Jersey - US,"Civic Life, Power & Politics",,,
Ross Barkan,Political Currents,rosselliotbarkan.com,Newsletter - Substack,,Chris Cillizza State Reporters,Politics,National - US,Power & Politics,,,
Bryan Anderson,Anderson Alerts,andersonalerts.substack.com,Newsletter - Substack,,Chris Cillizza State Reporters,"Politics, Local",North Carolina - US,"Civic Life, Power & Politics",,,
Jeremy Markovich,North Carolina Rabbit Hole,ncrabbithole.com,Newsletter - Other,,Chris Cillizza State Reporters,"Politics, Local",North Carolina - US,"Civic Life, Power & Politics",,,
D.J. Byrnes,Rooster Magazine,therooster.com,,,Chris Cillizza State Reporters,,National - US,,,,MOVE to Independent website
Jeff Eager,The Oregon Roundup,oregonroundup.com,Website,,Chris Cillizza State Reporters,"Politics, Finance/Economics, Local",Oregon - US,"Money & Work, Civic Life, Power & Politics",,,
Scott Braddock,Quorum Report,quorumreport.com,Website,,Chris Cillizza State Reporters,"Politics, Local",Texas - US,"Civic Life, Power & Politics",,,
Bryan Schott,Utah Political Watch,www.utahpoliticalwatch.news,Website,,Chris Cillizza State Reporters,"Politics, Local",Utah - US,"Civic Life, Power & Politics",,,
Paul Queary,The Washington Observer,https://washingtonobserver.substack.com/,Newsletter - Substack,,Chris Cillizza State Reporters,"Politics, Local",Washington - US,"Civic Life, Power & Politics",,,
