slug,creator_name,creator_channel,platform_primary,topic,tier,bsky_handle,bsky_display_name,bsky_followers,bsky_description,match_score,match_confidence,bsky_profile_url,reviewer_decision,notes
david-zipper,David Zipper,Paved with Good Intentions,Newsletter - Other,Transportation,1,davidzipper.bsky.social,David Zipper,0,"Thinking, writing, and speaking about transport, cities, and tech. Contributing Writer @ Bloomberg and cohost @ Look Bot",7,HIGH,https://bsky.app/profile/davidzipper.bsky.social,,
dean-baker,Dean Baker,Beat the Press,Patreon,Finance/Economics,1,deanbaker13.bsky.social,Dean Baker,0,Economist at the Center for Economic Research. Father to two dogs. ,6,HIGH,https://bsky.app/profile/deanbaker13.bsky.social,,
derek-lowe,Derek Lowe,In the Pipeline,Website,Science,1,dereklowe.bsky.social,Derek Lowe,0,"Medicinal chemist / chemical biologist, author of “In the Pipeline” at http://science.org/blogs/pipeline. derekb.lowe@gm",7,HIGH,https://bsky.app/profile/dereklowe.bsky.social,,
devory-darkins,DeVory Darkins,DeVory Darkins,Podcast,Politics,1,devorydarkins.bsky.social,DeVory Darkins,0,"God, Family, and Country First. Common Sense Commentary for Uncommon Times. Host of The DeVory Darkins Show. Husband, Fa",6,HIGH,https://bsky.app/profile/devorydarkins.bsky.social,,
ed-yong,Ed Yong,Ed Yong,Newsletter - Buttondown,Science,1,edyong209.bsky.social,Ed Yong,0,"Writer, journalist. Science, health. Pandemics, animals. Birder, photographer. Many words, some awards. AN IMMENSE WORLD",8,HIGH,https://bsky.app/profile/edyong209.bsky.social,,
elisabeth-bik,Elisabeth Bik,Science Integrity Digest,Website,Science,1,elisabethbik.bsky.social,Elisabeth Bik,0,"Science integrity consultant and crowdfunded volunteer, PhD.
Ex-Stanford University. Maddox Prize/Einstein F Award winne",7,HIGH,https://bsky.app/profile/elisabethbik.bsky.social,,
emily-atkin,Emily Atkin,Heated,Newsletter - Substack,Climate/Environment,1,emorwee.bsky.social,Emily Atkin,0,"I run HEATED, a weekly newsletter and podcast devoted to climate accountability reporting and opinion. Philly-based. She",6,HIGH,https://bsky.app/profile/emorwee.bsky.social,,
garth-greenwell,Garth Greenwell,To a Green Thought,Newsletter - Substack,Books/Writing,1,garthgreenwell.bsky.social,Garth Greenwell,0,"What Belongs to You, Cleanness, & Small Rain | 2025 PEN/Faulkner Award | Eeyore at the gay club | https://garthgreenwell",6,HIGH,https://bsky.app/profile/garthgreenwell.bsky.social,,
jack-murphy,Jack Murphy,The High Side,Newsletter - Substack,Foreign Policy,1,jackmurphyrgr.bsky.social,Jack Murphy,0,"National security journalist: https://thehighside.substack.com

Host on @theteamhouse.bsky.social‬

Military Thriller, T",7,HIGH,https://bsky.app/profile/jackmurphyrgr.bsky.social,,
james-carr,James Carr,East Atlanta Anthem,Newsletter - Other,Local,1,james-carr.org,James Carr,0,"Hard of hearing, technologist, advisor and heir to the Carr’s Cracker fortune.",6,HIGH,https://bsky.app/profile/james-carr.org,,
james-carr,James Carr,East Atlanta Anthem,Newsletter - Other,Local,1,james-carr.bsky.social,James Carr,0,"Associate Professor in Sociology, University of Limerick. Researching anti-Muslim Racism in Ireland. PI: SALAAM Project ",6,HIGH,https://bsky.app/profile/james-carr.bsky.social,,
jane-friedman,Jane Friedman,Jane Friedman,Newsletter - Other,"Books/Writing, Media/Power",1,janefriedman.com,Jane Friedman,0,"I report on the publishing industry through my paid newsletter, The Bottom Line, and educate writers on the business of ",7,HIGH,https://bsky.app/profile/janefriedman.com,,
jemar-tisby,Jemar Tisby,Footnotes,Newsletter - Substack,Faith/Religion,1,jemartisby.skystack.xyz,Footnotes by Jemar Tisby,0,"Offering historically informed perspectives on race, faith, and social issues to help you become a lifelong advocate for",6,HIGH,https://bsky.app/profile/jemartisby.skystack.xyz,,
jessica-huseman,Jessica Huseman,Votebeat,Website,Politics,1,jessicahuseman.bsky.social,Jessica Huseman,0,"Editorial director at Votebeat, managing special projects and newsroom enthusiasm. Finding joy everywhere. Prev: ProPubl",7,HIGH,https://bsky.app/profile/jessicahuseman.bsky.social,,
john-russell,John Russell,The Holler,Social - Instagram,Local,1,johnrussell40.bsky.social,John Russell,0,"A Yorkshireman in Devon, growing trees. Retired filmmaker. GS heat pump, solar thermal, PV, MVHR and EV user. Prioritisi",6,HIGH,https://bsky.app/profile/johnrussell40.bsky.social,,
jordan-chariton,Jordan Chariton,Status Coup,Newsletter - Substack,Immigration,1,jordanchariton.bsky.social,Jordan Chariton,0,"Reporter, StatusCoup News | Award-Winning Author: ""We the Poisoned: Exposing the Flint Water Cover Up"" | Support ON THE ",7,HIGH,https://bsky.app/profile/jordanchariton.bsky.social,,
julia-angwin,Julia Angwin,Proof News,Website,Tech,1,juliaangwin.com,Julia Angwin,0,"Pre-order: ON COURAGE: HOW TO BE A DISSIDENT IN AN AGE OF FEAR  (6/30 HarperCollins) tinyurl.com/yxpvn488

NYTimes Opini",7,HIGH,https://bsky.app/profile/juliaangwin.com,,
kai-kupferschmidt,Kai Kupferschmidt,Kai Kupferschmidt,Social - BlueSky,Science,1,kakape.bsky.social,Kai Kupferschmidt,0,"science journalist. author. molecular biologist. curious.
interested in #microbes, #misinformation and all things #blue
",6,HIGH,https://bsky.app/profile/kakape.bsky.social,,
kate-schneider,Kate Schneider,Kidtivity,Newsletter - Substack,"Parenting, Things to Do",1,kateschneider.bsky.social,Kate Schneider,0,"陳麗姬, data journalist @news.sky.com 📊, 🇨🇦 in 🇬🇧, she/her

got a tip? 📩 kate.schneider@sky.uk or message on signal at kate",7,HIGH,https://bsky.app/profile/kateschneider.bsky.social,,
katelyn-burns,Katelyn Burns,Burns Notice,Newsletter - Ghost,"LGBTQIA, Internet Culture, Politics",1,katelynburns.com,Katelyn Burns,0,"Freelance journalist. @ms.now and Xtra Magazine columnist. Co-founder: The Flytrap. Cancel Me, Daddy podcast co-host. Fo",7,HIGH,https://bsky.app/profile/katelynburns.com,,
katherine-stewart,Katherine Stewart,Katherine Stewart,Newsletter - Substack,Faith/Religion,1,katherinestewart.bsky.social,Katherine Stewart,0,"Money, Lies, and God; The Power Worshippers & other books
@nytopinion.nytimes.com, @newrepublic.com etc 
Katherinestewar",6,HIGH,https://bsky.app/profile/katherinestewart.bsky.social,,
katherine-stewart,Katherine Stewart,Katherine Stewart,Newsletter - Substack,Faith/Religion,1,katherine-stewart.bsky.social,Katherine Stewart,0,she/her,6,HIGH,https://bsky.app/profile/katherine-stewart.bsky.social,,
keren-landman,Keren Landman,Landmansplained,Newsletter - Substack,"Health/Wellness, Science, Mental Health",1,landmanspeaking.bsky.social,Keren Landman,0,"public health/medicine reporter | epidemiologist, ID doc | health misinfo, @soljourno, Southern stuff | Signal: kerenlan",6,HIGH,https://bsky.app/profile/landmanspeaking.bsky.social,,
kingsmill-bond,Kingsmill Bond,The Electrotech Revolution,Newsletter - Substack,Climate/Environment,1,kingsmillbond.bsky.social,Kingsmill Bond,0,Energy strategist @ember-energy.org,6,HIGH,https://bsky.app/profile/kingsmillbond.bsky.social,,
leah-stokes,Leah Stokes,A Matter of Degrees,Podcast,Climate/Environment,1,leahstokes.bsky.social,Leah Stokes,0,"Professor of climate + energy policy at UCSB. Alumni of MIT, Columbia and UToronto. Hosts ""A Matter of Degrees"" podcast.",7,HIGH,https://bsky.app/profile/leahstokes.bsky.social,,
lee-drutman,Lee Drutman,Undercurrent Events,Newsletter - Substack,Politics,1,leedrutman.bsky.social,Lee Drutman,0,"Political scientist. 
- Substack: https://leedrutman.substack.com
- Podcast: http://politicsinquestion.com 
- Senior Fel",7,HIGH,https://bsky.app/profile/leedrutman.bsky.social,,
liz-neeley,Liz Neeley,Meeting the Moment,Newsletter - Buttondown,"Science, Education, Politics, Climate/Environment, Explanatory",1,lizneeley.bsky.social,Liz Neeley,0,Founder of Liminal (LiminalCreations.com) & co-founder of Unbreaking (Unbreaking.org) Focused on turning knowledge into ,6,HIGH,https://bsky.app/profile/lizneeley.bsky.social,,
marcus-cleaver,Marcus Cleaver,UK Law Weekly,Newsletter - Substack,Law/Legal Issues,1,marcuscleaver.bsky.social,Marcus Cleaver,0,Host of the UK Law Weekly podcast but you will find me mostly posting about baseball and Magic: The Gathering.,6,HIGH,https://bsky.app/profile/marcuscleaver.bsky.social,,
mia-mulder,Mia Mulder,Mia Mulder,Video - YouTube,Politics,1,miamulder.bsky.social,Mia Mulder,0,"YouTuber, Political Operator
She/Her
Host of Be Gay Solve Crimes & LeechFest

www.MiaMulder.com
www.BeGaySolveCrimes.com",6,HIGH,https://bsky.app/profile/miamulder.bsky.social,,
michael-hobbes,Michael Hobbes,Maintenance Phase,Podcast,Health/Wellness,1,michaelhobbes.bsky.social,Michael Hobbes,0,"Solitary, poor, nasty, brutish and short.",6,HIGH,https://bsky.app/profile/michaelhobbes.bsky.social,,
michael-shellenberger,Michael Shellenberger,Public,Newsletter - Substack,"Politics, Media/Power",1,mshellenberger.bsky.social,Michael Shellenberger,0,"CBR Chair of Politics, Censorship & Free Speech @UAustinOrg : Dao Journalism Winner : Time, ""Hero of Environment"" : Auth",6,HIGH,https://bsky.app/profile/mshellenberger.bsky.social,,
nathan-robinson,Nathan Robinson,Current Affairs,Website,Politics,1,nathanrobinson.bsky.social,Nathan Robinson,0,"I post about building software, RE, AI, & architecture

http://Plotzy.ai - CRE Prospecting 
http://ArchitectureHelper.co",6,HIGH,https://bsky.app/profile/nathanrobinson.bsky.social,,
parker-molloy,Parker Molloy,The Present Age,Newsletter - Substack,Internet Culture,1,parkermolloy.com,Parker Molloy,0,"I write the media/internet/culture/politics/whatever newsletter The Present Age: www.readtpa.com

Chicagoan / wife of @k",8,HIGH,https://bsky.app/profile/parkermolloy.com,,
popville,Popville,Popville,Social - Twitter / X,General News,1,popville.bsky.social,PoPville,0,Chronicling the happenings in Washington D.C.’s neighborhoods since 2006. Founder: Dan Silverman princeofpetworth@gmail.,6,HIGH,https://bsky.app/profile/popville.bsky.social,,
rachel-donald,Rachel Donald,Planet: Critical,Newsletter - Ghost,"Climate/Environment, Finance/Economics, Politics, World",1,racheldonald.bsky.social,Rachel Donald,0,"I investigate why the world is in crisis: www.planetcritical.com 
I also investigate what to do about it: www.planetcoor",6,HIGH,https://bsky.app/profile/racheldonald.bsky.social,,
rachel-gilmore,Rachel Gilmore,Bubble Pop with Rachel Gilmore,Newsletter - Substack,"Politics, Investigative",1,rachelgilmore.bsky.social,Rachel Gilmore,0,"Your least favourite person's least favourite award-winning journalist✨

Follow for short-form videos on issues that mat",7,HIGH,https://bsky.app/profile/rachelgilmore.bsky.social,,
robert-p-jones,Robert P. Jones,White Too Long / The Convocation,Newsletter - Substack,Faith/Religion,1,robertpjones.bsky.social,Robert P. Jones,0,President and founder of PRRI and NYT bestselling author of Backslide; The Hidden Roots of White Supremacy; White Too Lo,6,HIGH,https://bsky.app/profile/robertpjones.bsky.social,,
robinson-meyer,Robinson Meyer,Heatmap News,Website,Climate/Environment,1,robinsonmeyer.bsky.social,Robinson Meyer,0,"I’m the founding executive editor of Heatmap News, a contributing Opinion writer for The New York Times, and the cohost ",7,HIGH,https://bsky.app/profile/robinsonmeyer.bsky.social,,
sam-seder,Sam Seder,The Majority Report,Podcast,Politics,1,samseder.bsky.social,Sam Seder,0,Host MajorityReport,6,HIGH,https://bsky.app/profile/samseder.bsky.social,,
sarah-mccammon,Sarah McCammon,Off the Air,Newsletter - Substack,"Faith/Religion, Politics",1,sarahmccammon.bsky.social,Sarah McCammon,0,"Host, ‘What It Takes’ Podcast
Senior Fellow, Third Way 
Former NPR Political Correspondent + Co-host, NPR Politics Podca",7,HIGH,https://bsky.app/profile/sarahmccammon.bsky.social,,
sean-naylor,Sean Naylor,The High Side,Newsletter - Substack,Foreign Policy,1,seannaylor.bsky.social,Sean Naylor,0,"Cycling instructor in London, not the American defence writer.",7,HIGH,https://bsky.app/profile/seannaylor.bsky.social,,
skanda-amarnath,Skanda Amarnath,Employ America,Website,Finance/Economics,1,skandaamarnath.bsky.social,Skanda Amarnath,0,"Executive Director of Employ America

Macro / Labor / Finance / Energy / Chart posting",7,HIGH,https://bsky.app/profile/skandaamarnath.bsky.social,,
steven-greenhouse,Steven Greenhouse,Steven Greenhouse,Newsletter - Substack,Labor/Workers Rights,1,greenhousenyt.bsky.social,Steven Greenhouse,0,"Retired New York Times labor reporter, senior fellow Century Foundation, author of Beaten Down, Worked Up: The Past, Pre",6,HIGH,https://bsky.app/profile/greenhousenyt.bsky.social,,
ted-gioia,Ted Gioia,The Honest Broker,Newsletter - Substack,"Books/Writing, Art, Music",1,tedgioia.bsky.social,Ted Gioia,0,"Ted Gioia is author of 12 books, including The History of Jazz and Music: A Subversive History. His newsletter is The Ho",8,HIGH,https://bsky.app/profile/tedgioia.bsky.social,,
teddy-ostrow,Teddy Ostrow,The Upsurge,Newsletter - Substack,Labor/Workers Rights,1,teddyostrow.bsky.social,Teddy Ostrow,0,Journalist covering labor & economics. Host of The Upsurge. Contributor to The Real News. Writing all round. Tips & assi,8,HIGH,https://bsky.app/profile/teddyostrow.bsky.social,,
tod-maffin,Tod Maffin,Far and Wide,Newsletter - Beehiiv,"Politics, Culture",1,todmaffin.com,Tod Maffin 🇨🇦,0,"Your Emotional Support Canadian 🇨🇦 ♥️

📰 𝗡𝗘𝗪𝗦𝗟𝗘𝗧𝗧𝗘𝗥: newsletter.todmaffin.com
👕 𝗠𝗘𝗥𝗖𝗛: shop.todmaffin.com
🎙️ 𝗣𝗢𝗗𝗖𝗔𝗦𝗧: mi",6,HIGH,https://bsky.app/profile/todmaffin.com,,
tom-sietsema,Tom Sietsema,Next Course with Tom Sietsema,Newsletter - Beehiiv,Food,1,tomsietsema.bsky.social,Tom Sietsema,0,I write about restaurants and love/live to travel. Home is DC. The Washington Post is my boss.,6,HIGH,https://bsky.app/profile/tomsietsema.bsky.social,,
van-jackson,Van Jackson,Un-Diplomatic,Newsletter - Substack,Foreign Policy,1,vanjackson.bsky.social,Van Jackson,0,"The class politics of geopolitics. Newsletter, http://Un-Diplomatic.com. Co-host, https://www.BangBangPod.com; https://w",7,HIGH,https://bsky.app/profile/vanjackson.bsky.social,,
vlad,Vlad,A Different Perspective,Newsletter - Substack,"Self-Help, Tech, Culture",1,stevevladeck.bsky.social,Steve Vladeck,0,"@ksvesq.bsky.social’s husband; father of daughters; professor @georgetownlaw.bsky.social; #SCOTUS nerd @CNN.com

Bio: ww",6,HIGH,https://bsky.app/profile/stevevladeck.bsky.social,,
vlad,Vlad,A Different Perspective,Newsletter - Substack,"Self-Help, Tech, Culture",1,vladduthierscbs.bsky.social,Vladimir Duthiers,0,"Featured Host, CBS Mornings, National Correspondent, CBS News, former West Africa correspondent for CNN in Lagos, Nigeri",6,HIGH,https://bsky.app/profile/vladduthierscbs.bsky.social,,
vlad,Vlad,A Different Perspective,Newsletter - Substack,"Self-Help, Tech, Culture",1,vladi.bsky.social,Vlad Savov 🍉,0,"Tech editor, Bloomberg.",6,HIGH,https://bsky.app/profile/vladi.bsky.social,,
yawu-miller,Yawu Miller,The Flipside,Website,Local,1,yawumiller.bsky.social,Yawu Miller,0,Writer and editor,7,HIGH,https://bsky.app/profile/yawumiller.bsky.social,,
addison-del-mastro,Addison Del Mastro,The Deleted Scenes,Newsletter - Substack,"Housing, Design",1,ad-mastro.bsky.social,Addison Del Mastro,0,"Writing with a focus on urbanism, culture, and popular history. I write The Deleted Scenes, a daily, mostly-urbanism new",5,MEDIUM,https://bsky.app/profile/ad-mastro.bsky.social,,
andrew-leach,Andrew Leach,Leach's Occasional Energy Charts,Newsletter - Substack,Climate/Environment,1,aleach.ca,Andrew Leach,0,"Professor of Economics and Law at the University of Alberta. Interested in climate change, constitutional law, and energ",5,MEDIUM,https://bsky.app/profile/aleach.ca,,
andrew-leach,Andrew Leach,Leach's Occasional Energy Charts,Newsletter - Substack,Climate/Environment,1,an-andrew-leach.bsky.social,Andrew Leach Research Group,0,"Follow for updates from Andrew Leach's research group in FBMH at The University of Manchester.

Not the one who wrote th",5,MEDIUM,https://bsky.app/profile/an-andrew-leach.bsky.social,,
andrew-pulrang,Andrew Pulrang,Disability Thinking,Newsletter - Ghost,Identity/Belonging,1,apulrang.bsky.social,Andrew Pulrang,0,"Disability, politics, popular culture. I'm a Baby Boom / Gen X hybrid. #CripTheVote. Freelance disability writing. https",4,MEDIUM,https://bsky.app/profile/apulrang.bsky.social,,
andy-revkin,Andy Revkin,Sustain What,Newsletter - Substack,"Climate/Environment, Science, Media/Power",1,revkin.bsky.social,Andy Revkin  🌎 ✍🏼 🪕 ☮️ revkin.substack.com,0,"40 years of prize-winning sustainability journalism, mostly @nytimes, #sustainwhat webcaster https://revkin.substack.com",4,MEDIUM,https://bsky.app/profile/revkin.bsky.social,,
anthea-butler,Anthea Butler,Under the Desk,Newsletter - Substack,Faith/Religion,1,antheabutler.bsky.social,Prof. Anthea Butler,0,"Geraldine R. Segal Professor of American Social Thought.  Ride or die Eagles fan, traveler and gin drinker. Comedic trut",5,MEDIUM,https://bsky.app/profile/antheabutler.bsky.social,,
aubrey-gordon,Aubrey Gordon,Maintenance Phase,Podcast,Health/Wellness,1,yrfatfriend.bsky.social,Aubrey Gordon,0,Cohost of @maintenancephase.bsky.social. Author of WHAT WE DON'T TALK ABOUT WHEN WE TALK ABOUT FAT and YOU JUST NEED TO ,4,MEDIUM,https://bsky.app/profile/yrfatfriend.bsky.social,,
beth-allison-barr,Beth Allison Barr,Marginalia,Newsletter - Substack,Faith/Religion,1,bethallisonbarr.bsky.social,"Beth Allison Barr, PhD",0,"James Vardaman Professor @Baylor_History; USAToday and NYTimes bestselling author @brazospress; 
Medieval &Women’s histo",5,MEDIUM,https://bsky.app/profile/bethallisonbarr.bsky.social,,
brandon-chew,Brandon Chew,Chew's News,Newsletter - Substack,"Politics, Labor/Workers Rights, Local",1,brandonmichew.bsky.social,Brandon Chew,0,Journalist in Chicago metropolitan area. Read latest stories on my Substack: https://open.substack.com/pub/brandonchew?r,5,MEDIUM,https://bsky.app/profile/brandonmichew.bsky.social,,
brittney-mcnamara,Brittney McNamara,La Fronde,Newsletter - Beehiiv,"Media/Power, Gender",1,brittneymac15.bsky.social,Brittney McNamara,0,Journalist + editor  ✨ Digital @Playboy.com ✨ Editor @lafronde.bsky.social ✨ Pulitzer Center grantee ✨She/her.,5,MEDIUM,https://bsky.app/profile/brittneymac15.bsky.social,,
caroline-criado-perez,Caroline Criado Perez,Invisible Women,Newsletter - Substack,Science,1,ccriadoperez.bsky.social,Caroline Criado Perez,0,"Writer, speaker, author of Invisible Women",5,MEDIUM,https://bsky.app/profile/ccriadoperez.bsky.social,,
casey-lewis,Casey Lewis,After School,Newsletter - Substack,Internet Culture,1,caseymlewis.bsky.social,Casey Lewis,0,"Yes, THE Casey Lewis",4,MEDIUM,https://bsky.app/profile/caseymlewis.bsky.social,,
celine-gounder,Celine Gounder,What I Can & Can't Say on,Newsletter - Substack,Health/Wellness,1,celinegounder.com,Dr. Céline Gounder,0,"MEDICINE / INFECTIOUS DISEASES / EPIDEMIOLOGY / JOURNALISM

🔹 Editor-at-Large for Public Health at @KFFhealthnews.bsky.s",4,MEDIUM,https://bsky.app/profile/celinegounder.com,,
cesar-madison-tapia,Cesar Madison Tapia,Cesar Madison Tapia,Video - TikTok,Politics,1,cjmadison.bsky.social,Cesar Madison Tapia,0,"Simple guy, with complicated goals.",4,MEDIUM,https://bsky.app/profile/cjmadison.bsky.social,,
christian-bryant,Christian Bryant,Christian P. Bryant,Newsletter - Substack,"Culture, Politics",1,cgbryant.bsky.social,Christian Bryant,0,Drinkin’ margaritas at the mall,4,MEDIUM,https://bsky.app/profile/cgbryant.bsky.social,,
farron-cousins,Farron Cousins,Farron Balanced,Podcast,Politics,1,farronbalanced.bsky.social,Farron Cousins,0,"Host of Farron Balanced.

https://linktr.ee/FarronBalanced",4,MEDIUM,https://bsky.app/profile/farronbalanced.bsky.social,,
gustavo-faleiros,Gustavo Faleiros,InfoAmazonia,Website,Climate/Environment,1,gufalei.bsky.social,Gustavo Faleiros,0,"Environmental Investigations Editor at Pulitzer Center
 
Co-founder of InfoAmazonia and drummer of Eventos Extremos",5,MEDIUM,https://bsky.app/profile/gufalei.bsky.social,,
jack-werner,Jack Werner,Veckans vandringssägen,Newsletter - Beehiiv,"Culture, History, Internet Culture",1,kwasbeb.bsky.social,Jack Werner,0,Gamla goda Jack.,4,MEDIUM,https://bsky.app/profile/kwasbeb.bsky.social,,
jack-werner,Jack Werner,Veckans vandringssägen,Newsletter - Beehiiv,"Culture, History, Internet Culture",1,blackcoffeehistory.bsky.social,Jack Werner,0,Ph.D Candidate at UMD. A reader who cares what academics write.,4,MEDIUM,https://bsky.app/profile/blackcoffeehistory.bsky.social,,
jacob-carter,Jacob Carter,SciLight,Newsletter - Substack,"Science, Government Accountability",1,jacobacarter.bsky.social,Jacob Carter,0,Animal and LGBTQIA+ Advocate. Business Owner. Wine Drinker.,4,MEDIUM,https://bsky.app/profile/jacobacarter.bsky.social,,
jacob-carter,Jacob Carter,SciLight,Newsletter - Substack,"Science, Government Accountability",1,jcarter74824.bsky.social,Jacob Carter,0,"jesus, construction, bike rides",4,MEDIUM,https://bsky.app/profile/jcarter74824.bsky.social,,
jasmine-sun,Jasmine Sun,jasmi.news,Newsletter - Substack,"Tech, Science, Labor/Workers Rights",1,jasmine.bsky.social,jasmine sun,0,anthropologist of disruption / writing jasmi.news / san francisco,4,MEDIUM,https://bsky.app/profile/jasmine.bsky.social,,
jasmine-sun,Jasmine Sun,jasmi.news,Newsletter - Substack,"Tech, Science, Labor/Workers Rights",1,jzmsn.bsky.social,Jasmine Sun,0,"Postbacc at WashU in St. Louis🪱 | Regeneration, DevBio, &✨weird organisms and the weird things they do✨ | I paint! (spor",4,MEDIUM,https://bsky.app/profile/jzmsn.bsky.social,,
jesse-dollemore,Jesse Dollemore,Jesse Dollemore,Podcast,Politics,1,dollemore.com,Jesse Dollemore,0,"U.S. Marine, host of Dollemore Daily on YouTube & I Doubt It Podcast - Voicemail Line - (714) 576-4054 https://linktr.ee",4,MEDIUM,https://bsky.app/profile/dollemore.com,,
jordi-amaral,Jordi Amaral,Americas Migration Brief,Newsletter - Substack,Immigration,1,amaraljordi.bsky.social,Jordi Amaral,0,"Founder and Author of the Americas Migration Brief. PhDing in Political Science at GWU. Former IDB, Hxagon, MPI, WOLA, U",4,MEDIUM,https://bsky.app/profile/amaraljordi.bsky.social,,
katie-halper,Katie Halper,The Katie Halper Show,Podcast,Politics,1,kthalps.bsky.social,Katie Halper,0,,4,MEDIUM,https://bsky.app/profile/kthalps.bsky.social,,
laurie-garrett,Laurie Garrett,Making Science Sense,Newsletter - Substack,Health/Wellness,1,lauriegarrett1.bsky.social,Laurie Garrett (twitter feed),0,"Member @CFR_org. Recipient of Pulitzer Prize, Polk (3Xs) and Peabody Awards. Author: I Heard theSirensScream, TheComingP",5,MEDIUM,https://bsky.app/profile/lauriegarrett1.bsky.social,,
matt,Matt,Remote Queer,Newsletter - Ghost,"Travel, LGBTQIA",1,matthieu.bsky.team,Matthieu 🦋,0,"Protocol Engineer at Bluesky. Building the open social web on AT Protocol. Into web standards, OAuth, TypeScript, and qu",5,MEDIUM,https://bsky.app/profile/matthieu.bsky.team,,
matt,Matt,Remote Queer,Newsletter - Ghost,"Travel, LGBTQIA",1,mattgertz.bsky.social,Matthew Gertz,0,Senior Fellow at @mmfa. Views expressed here my own. Husband of @alyssarosenberg. Dad. Not the former GOP congressman. F,5,MEDIUM,https://bsky.app/profile/mattgertz.bsky.social,,
matt,Matt,Remote Queer,Newsletter - Ghost,"Travel, LGBTQIA",1,mattyglesias.bsky.social,Matthew Yglesias ,0,,5,MEDIUM,https://bsky.app/profile/mattyglesias.bsky.social,,
matt,Matt,Remote Queer,Newsletter - Ghost,"Travel, LGBTQIA",1,mattbinder.bsky.social,Matt Binder,0,"Subscribe: 
disruptionist.com
youtube.com/mattbinder",5,MEDIUM,https://bsky.app/profile/mattbinder.bsky.social,,
meghan-mangrum,Meghan Mangrum,Deep South Education,Newsletter - Substack,Education,1,mmangrum.bsky.social,Meghan Mangrum,0,"managing editor @FauquierTimes | i love ☀️ and the South | past lives: @Tennessean, @TimesFreePress, @UFJSchool | @mmang",5,MEDIUM,https://bsky.app/profile/mmangrum.bsky.social,,
michael-jones,Michael Jones,Once Upon a Hill,Newsletter - Substack,"Politics, Government Accountability, Investigative",1,100percentmikey.bsky.social,Michael Jones,0,"Food 
Patreon.com/100PercentEat
Game
Patreon.com/MikeyFredo",4,MEDIUM,https://bsky.app/profile/100percentmikey.bsky.social,,
